Airport_name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,Attraction_html
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,https://www.tripadvisor.com/Attractions-g304034-Activities-Goroka_Highlands_Region.html
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports,https://www.tripadvisor.com/Attractions-g298436-Activities-Madang_Momase_Region.html
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g304035-d321221-Highlander_Hotel_Apartments-Mount_Hagen_Highlands_Region.html
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g294118-d299175-Holiday_Inn_Port_Moresby-Port_Moresby_Papua_Region.html
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998,19,10,U,Pacific/Port_Moresby,airport,OurAirports,https://www.tripadvisor.com/Attractions-g551793-Activities-Westray_Orkney_Islands_Scotland.html
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189954-Activities-Akureyri_Northeast_Region.html
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758,76,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g315847-Activities-Egilsstadir_East_Region.html
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189960-Activities-Hofn_East_Region.html
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189963-Activities-Husavik_Northeast_Region.html
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719,8,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189967-Activities-Isafjordur_Westfjords_Region.html
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998,171,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g189970-qKEF-Reykjavik_Capital_Region.html
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g2291817-Activities-Patreksfjordur_Westfjords_Region.html
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189970-Activities-Reykjavik_Capital_Region.html
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189971-Activities-Siglufjordur_Northeast_Region.html
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437,326,0,N,Atlantic/Reykjavik,airport,OurAirports,https://www.tripadvisor.com/Attractions-g189977-Activities-Vestmannaeyjar_Heimaey_Island_Westmann_Islands_South_Region.html
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g155012-Activities-Sault_Ste_Marie_Northeastern_Ontario_Ontario.html
Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207,760,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154954-Activities-Winnipeg_Manitoba.html
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.909999847399995,-97.2398986816,783,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154954-Activities-Winnipeg_Manitoba.html
Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.639701843299996,-63.4994010925,144,-4,A,America/Halifax,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g154976-qYHZ-Halifax_Halifax_Region_Nova_Scotia.html
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.880798339799995,-63.508598327600005,477,-4,A,America/Halifax,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g154976-qYHZ-Halifax_Halifax_Region_Nova_Scotia.html
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.77558300000001,80,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154942-Activities-Tofino_Clayoquot_Sound_Alberni_Clayoquot_Regional_District_Vancouver_Island_British_Columbia.html
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,71,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g182155-d183621-Comfort_Inn_Baie_Comeau-Baie_Comeau_Quebec.html
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080184936523,-125.27100372314452,346,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g181792-d188339-Travelodge_Campbell_River-Campbell_River_Vancouver_Island_British_Columbia.html
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g34099-Activities-Brandon_Florida.html
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.13800048799999,90,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g50160-d101443-Baymont_Inn_Suites_Cambridge-Cambridge_Guernsey_County_Ohio.html
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,-123.869862556,92,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154935-Activities-Nanaimo_Vancouver_Island_British_Columbia.html
Nanaimo Harbour Water Airport,Nanaimo,Canada,ZNA,CAC8,49.1833000183,-123.94999694799999,0,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154935-Activities-Nanaimo_Vancouver_Island_British_Columbia.html
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296398162799996,-117.63200378399999,1624,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g181791-Activities-Castlegar_Kootenay_Rockies_British_Columbia.html
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport,OurAirports,https://www.tripadvisor.com/Attractions-g41499-Activities-Chatham_Cape_Cod_Massachusetts.html
Charlo Airport,Charlo,Canada,YCL,CYCL,47.990798999999996,-66.330299,132,-4,A,America/Halifax,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g49022-qCLT-Charlotte_North_Carolina.html
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.93900299100001,32,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154927-Activities-Chilliwack_British_Columbia.html
Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,210,-5,A,America/Coral_Harbour,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g147416-d483362-Coral_Harbour_Beach_House_and_Villas-Nassau_New_Providence_Island_Bahamas.html
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.12800598144528,1215,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g34892-Activities-Dawsonville_Georgia.html
Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g503757-Activities-Burwash_East_Sussex_England.html
Princeton Airport,Princeton,Canada,YDC,CYDC,49.468101501499994,-120.51100158700001,2298,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/Attractions-g46756-Activities-Princeton_New_Jersey.html
Princeton Municipal Airport,Princeton,United States,PNM,KPNM,45.55989838,-93.60820007,980,-6,A,America/Chicago,airport,OurAirports,https://www.tripadvisor.com/Attractions-g46756-Activities-Princeton_New_Jersey.html
Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492,72,-3.5,A,America/St_Johns,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g499189-d2557588-Holiday_Inn_Express_Deer_Lake-Deer_Lake_Newfoundland_Newfoundland_and_Labrador.html
Deer Lake Airport,Deer Lake,Canada,YVZ,CYVZ,52.655799865722656,-94.0614013671875,1092,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g499189-d2557588-Holiday_Inn_Express_Deer_Lake-Deer_Lake_Newfoundland_Newfoundland_and_Labrador.html
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,2600,-8,A,America/Vancouver,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g670033-d1516979-Arctic_Divide-Dease_Lake_British_Columbia.html
Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956054688,-100.052001953125,999,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g30472-Activities-Dauphin_Island_Alabama.html
Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148,-7,A,America/Dawson_Creek,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g499126-d2328524-Holiday_Inn_Express_Suites_Dawson_Creek-Dawson_Creek_British_Columbia.html
Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,-113.580001831,2373,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g154914-qYEG-Edmonton_Alberta.html
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.52100372299999,2202,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g154914-qYEG-Edmonton_Alberta.html
Estevan Airport,Estevan,Canada,YEN,CYEN,49.210300445600005,-102.96600341799999,1905,-6,N,America/Regina,airport,OurAirports,https://www.tripadvisor.com/Attractions-g499384-Activities-Estevan_Saskatchewan.html
Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.46499633799999,3043,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/Attractions-g181804-Activities-Edson_Alberta.html
Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,256,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g31582-Activities-Eureka_Springs_Arkansas.html
Murray Field,Eureka,United States,EKA,KEKA,40.8033981323,-124.112998962,7,\N,\N,\N,airport,OurAirports,https://www.tripadvisor.com/Attractions-g31582-Activities-Eureka_Springs_Arkansas.html
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709,224,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/Attractions-g499243-Activities-Inuvik_Northwest_Territories.html
Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756401061999995,-68.5558013916,110,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g183793-Activities-Iqaluit_Nunavut.html
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439,68,-4,A,America/Halifax,airport,OurAirports,https://www.tripadvisor.com/Attractions-g154957-Activities-Fredericton_New_Brunswick.html
Forestville Airport,Forestville,Canada,\N,CYFE,48.74610137939453,-69.09719848632811,293,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g32397-Activities-Forestville_Sonoma_County_California.html
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295,997,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g668862-d1007894-Bakers_Narrows_Lodge-Flin_Flon_Manitoba.html
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,526,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/Attractions-g3566891-Activities-Fort_Resolution_Northwest_Territories.html
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876,555,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1878413-Activities-Fort_Simpson_Northwest_Territories.html
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414,305,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g147310-Activities-Kingston_Kingston_Parish_Jamaica.html
Norman Manley International Airport,Kingston,Jamaica,KIN,MKJP,17.935699462890625,-76.7874984741211,10,-5,U,America/Jamaica,airport,OurAirports,https://www.tripadvisor.com/Attractions-g147310-Activities-Kingston_Kingston_Parish_Jamaica.html
Tinson Pen Airport,Kingston,Jamaica,KTP,MKTP,17.98859977722168,-76.82379913330078,16,-5,U,America/Jamaica,airport,OurAirports,https://www.tripadvisor.com/Attractions-g147310-Activities-Kingston_Kingston_Parish_Jamaica.html
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136108398,-77.7042007446289,639,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g488100-Activities-Anse_La_Raie.html
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775299072299994,-64.4785995483,112,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g494965-Activities-Gaspe_Gaspesie_Region_Quebec.html
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,-86.93939971923828,1144,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255365-Activities-Geraldton_Western_Australia.html
Geraldton Airport,Geraldton,Australia,GET,YGEL,-28.796101,114.707001,121,8,O,Australia/Perth,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255365-Activities-Geraldton_Western_Australia.html
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594,35,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g445053-d1880247-La_Table_des_Roy-Iles_de_la_Madeleine_Quebec.html
Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.31099700899999,1175,-6,N,America/Regina,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g50463-d101456-Baymont_Inn_Suites_Boston_Heights_Hudson-Hudson_Ohio.html
Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.83169937133789,-92.74420166015624,1354,-6,A,America/Winnipeg,airport,OurAirports,https://www.tripadvisor.com/Attractions-g181721-Activities-Dryden_Kenora_District_Ontario.html
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938,117,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/AttractionsNear-g60623-qLIH-Lihue_Kauai_Hawaii.html
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999,780,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255108-Activities-Hamilton_Waikato_Region_North_Island.html
Hamilton International Airport,Hamilton,New Zealand,HLZ,NZHN,-37.8666992188,175.332000732,172,12,Z,Pacific/Auckland,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255108-Activities-Hamilton_Waikato_Region_North_Island.html
Hamilton Airport,Hamilton,Australia,HLT,YHML,-37.64889907836914,142.06500244140625,803,10,O,Australia/Hobart,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255108-Activities-Hamilton_Waikato_Region_North_Island.html
Butler Co Regional Airport - Hogan Field,Hamilton,United States,\N,KHAO,39.3638000488,-84.5220031738,633,-5,A,America/New_York,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255108-Activities-Hamilton_Waikato_Region_North_Island.html
Hamilton Municipal Airport,Hamilton,United States,\N,KMNZ,31.6658992767334,-98.14859771728516,1299,-6,A,America/Chicago,airport,OurAirports,https://www.tripadvisor.com/Attractions-g255108-Activities-Hamilton_Waikato_Region_North_Island.html
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,90,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g155032-Activities-Montreal_Quebec.html
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.67950057979999,-74.0386962891,270,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g155032-Activities-Montreal_Quebec.html
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,118,-5,A,America/Toronto,airport,OurAirports,https://www.tripadvisor.com/Attractions-g155032-Activities-Montreal_Quebec.html
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,541,-7,A,America/Edmonton,airport,OurAirports,https://www.tripadvisor.com/Attractions-g671135-Activities-Hay_River_Northwest_Territories.html
